GEOID,locality,tract,label,group,estimate,moe,year,county,locality_num,tract_num,tractnames
51003010100,Albemarle County,Census Tract 101,Median Earnings,All,63313,20027,2023,Albemarle,003,010100,Free Union
51003010100,Albemarle County,Census Tract 101,Median Earnings,Male,82176,31688,2023,Albemarle,003,010100,Free Union
51003010100,Albemarle County,Census Tract 101,Median Earnings,Female,55242,19607,2023,Albemarle,003,010100,Free Union
51003010201,Albemarle County,Census Tract 102.01,Median Earnings,All,65500,16357,2023,Albemarle,003,010201,Charlottesville-Albemarle Airport
51003010201,Albemarle County,Census Tract 102.01,Median Earnings,Male,82870,15913,2023,Albemarle,003,010201,Charlottesville-Albemarle Airport
51003010201,Albemarle County,Census Tract 102.01,Median Earnings,Female,52821,10671,2023,Albemarle,003,010201,Charlottesville-Albemarle Airport
51003010202,Albemarle County,Census Tract 102.02,Median Earnings,All,76116,18311,2023,Albemarle,003,010202,Earlysville
51003010202,Albemarle County,Census Tract 102.02,Median Earnings,Male,90313,29563,2023,Albemarle,003,010202,Earlysville
51003010202,Albemarle County,Census Tract 102.02,Median Earnings,Female,62727,21167,2023,Albemarle,003,010202,Earlysville
51003010301,Albemarle County,Census Tract 103.01,Median Earnings,All,66442,18314,2023,Albemarle,003,010301,Berkmar Drive
51003010301,Albemarle County,Census Tract 103.01,Median Earnings,Male,70871,12766,2023,Albemarle,003,010301,Berkmar Drive
51003010301,Albemarle County,Census Tract 103.01,Median Earnings,Female,58412,14854,2023,Albemarle,003,010301,Berkmar Drive
51003010302,Albemarle County,Census Tract 103.02,Median Earnings,All,90723,2381,2023,Albemarle,003,010302,Polo Grounds Road
51003010302,Albemarle County,Census Tract 103.02,Median Earnings,Male,91139,8461,2023,Albemarle,003,010302,Polo Grounds Road
51003010302,Albemarle County,Census Tract 103.02,Median Earnings,Female,87232,8909,2023,Albemarle,003,010302,Polo Grounds Road
51003010303,Albemarle County,Census Tract 103.03,Median Earnings,All,60974,10962,2023,Albemarle,003,010303,Hollymead
51003010303,Albemarle County,Census Tract 103.03,Median Earnings,Male,78646,10493,2023,Albemarle,003,010303,Hollymead
51003010303,Albemarle County,Census Tract 103.03,Median Earnings,Female,54293,4459,2023,Albemarle,003,010303,Hollymead
51003010401,Albemarle County,Census Tract 104.01,Median Earnings,All,58791,5558,2023,Albemarle,003,010401,Stony Point-Keswick
51003010401,Albemarle County,Census Tract 104.01,Median Earnings,Male,66422,10485,2023,Albemarle,003,010401,Stony Point-Keswick
51003010401,Albemarle County,Census Tract 104.01,Median Earnings,Female,45762,6330,2023,Albemarle,003,010401,Stony Point-Keswick
51003010402,Albemarle County,Census Tract 104.02,Median Earnings,All,66616,6178,2023,Albemarle,003,010402,Village of Rivanna
51003010402,Albemarle County,Census Tract 104.02,Median Earnings,Male,74896,25954,2023,Albemarle,003,010402,Village of Rivanna
51003010402,Albemarle County,Census Tract 104.02,Median Earnings,Female,60227,11789,2023,Albemarle,003,010402,Village of Rivanna
51003010501,Albemarle County,Census Tract 105.01,Median Earnings,All,65159,12916,2023,Albemarle,003,010501,Darden-Key West
51003010501,Albemarle County,Census Tract 105.01,Median Earnings,Male,84766,23597,2023,Albemarle,003,010501,Darden-Key West
51003010501,Albemarle County,Census Tract 105.01,Median Earnings,Female,56741,16193,2023,Albemarle,003,010501,Darden-Key West
51003010502,Albemarle County,Census Tract 105.02,Median Earnings,All,71133,19828,2023,Albemarle,003,010502,Pantops
51003010502,Albemarle County,Census Tract 105.02,Median Earnings,Male,95735,24651,2023,Albemarle,003,010502,Pantops
51003010502,Albemarle County,Census Tract 105.02,Median Earnings,Female,62679,12411,2023,Albemarle,003,010502,Pantops
51003010602,Albemarle County,Census Tract 106.02,Median Earnings,All,75956,18625,2023,Albemarle,003,010602,Dunlora-Stone Henge
51003010602,Albemarle County,Census Tract 106.02,Median Earnings,Male,100119,15729,2023,Albemarle,003,010602,Dunlora-Stone Henge
51003010602,Albemarle County,Census Tract 106.02,Median Earnings,Female,46369,14927,2023,Albemarle,003,010602,Dunlora-Stone Henge
51003010603,Albemarle County,Census Tract 106.03,Median Earnings,All,48398,16117,2023,Albemarle,003,010603,Branchland
51003010603,Albemarle County,Census Tract 106.03,Median Earnings,Male,37308,22473,2023,Albemarle,003,010603,Branchland
51003010603,Albemarle County,Census Tract 106.03,Median Earnings,Female,65310,30067,2023,Albemarle,003,010603,Branchland
51003010604,Albemarle County,Census Tract 106.04,Median Earnings,All,55392,6980,2023,Albemarle,003,010604,Woodbrook-Carrsbrook
51003010604,Albemarle County,Census Tract 106.04,Median Earnings,Male,66375,20593,2023,Albemarle,003,010604,Woodbrook-Carrsbrook
